gender,agegroup_work,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,15,0.139439,0.139439,0.135763,0.13491,0.130267,0.132015,0.133855,0.1226,0.110353,0.108522,0.109876,0.111633,0.113625,0.11559,0.116885,0.117921,0.118982,0.120102,0.120856,0.120978,0.121773,0.123243,0.124567,0.125597,0.126404,0.127457,0.128588,0.129394,0.130157,0.130903,0.131475,0.131732,0.131713,0.131566,0.131585,0.131748,0.131873,0.132001,0.132124,0.132234,0.132347,0.13246,0.132525,0.132516,0.132418,0.132281,0.132132,0.131972,0.131818,0.131679,0.131566,0.131486,0.131428,0.131396,0.131379,0.13137,0.131378,0.131401,0.131441
TRUE,20,0.552422,0.552422,0.552883,0.555299,0.553111,0.557335,0.560654,0.518643,0.487445,0.48202,0.488949,0.498024,0.506598,0.513583,0.517132,0.51899,0.521128,0.524721,0.529398,0.533042,0.536432,0.539462,0.541755,0.543106,0.544231,0.546273,0.548805,0.550785,0.552356,0.553716,0.555228,0.556618,0.557544,0.558247,0.558768,0.558891,0.558533,0.558059,0.557707,0.557684,0.557865,0.558012,0.558092,0.558133,0.558168,0.558238,0.558309,0.5583,0.558198,0.557985,0.557719,0.557427,0.557115,0.556815,0.55654,0.556307,0.556153,0.556096,0.556128
TRUE,25,0.808668,0.808668,0.806872,0.811374,0.815711,0.820933,0.827433,0.803051,0.785152,0.780887,0.784807,0.789882,0.795073,0.799862,0.803231,0.80633,0.809709,0.813621,0.818099,0.821599,0.8247,0.827587,0.830332,0.832825,0.835113,0.837268,0.839184,0.840756,0.842083,0.843307,0.844509,0.845546,0.846299,0.846806,0.847102,0.847227,0.847216,0.847236,0.847302,0.847393,0.847441,0.847415,0.847349,0.847283,0.847254,0.847245,0.847226,0.847178,0.847113,0.847039,0.846959,0.846863,0.846744,0.846616,0.846481,0.846346,0.846241,0.846193,0.846198
TRUE,30,0.856684,0.856684,0.855107,0.857997,0.859041,0.861156,0.865822,0.851034,0.842015,0.837855,0.838872,0.840879,0.843772,0.846792,0.848985,0.851103,0.853458,0.856301,0.859754,0.862594,0.86519,0.867554,0.869735,0.871753,0.873624,0.875353,0.876897,0.878232,0.87939,0.880404,0.88129,0.882036,0.882625,0.883028,0.883258,0.883334,0.883312,0.883332,0.883368,0.883425,0.883478,0.883496,0.883479,0.883445,0.883417,0.883395,0.883372,0.883331,0.883277,0.88322,0.883149,0.883067,0.882967,0.882873,0.882774,0.882679,0.882604,0.882574,0.882582
TRUE,35,0.863115,0.863115,0.862057,0.865203,0.869211,0.873545,0.876442,0.863049,0.856897,0.853513,0.854514,0.85636,0.858946,0.861612,0.863555,0.865394,0.867408,0.869813,0.872705,0.875082,0.877274,0.87931,0.881202,0.882968,0.884613,0.886128,0.887486,0.888633,0.889604,0.890456,0.891221,0.891869,0.892369,0.892695,0.892869,0.892921,0.89288,0.892882,0.892947,0.893045,0.89313,0.893175,0.893191,0.893182,0.893178,0.893164,0.893136,0.893093,0.893036,0.892968,0.89289,0.892805,0.892711,0.892627,0.892538,0.892451,0.892376,0.892337,0.892333
TRUE,40,0.860021,0.860021,0.857813,0.861163,0.864848,0.868676,0.873525,0.863895,0.85828,0.855233,0.856027,0.857513,0.859657,0.861878,0.863475,0.865066,0.866884,0.869113,0.871806,0.874019,0.876035,0.877843,0.879491,0.881002,0.882406,0.883714,0.884905,0.885968,0.886924,0.887786,0.88854,0.88915,0.889597,0.889882,0.890028,0.890069,0.890026,0.890006,0.890034,0.890066,0.890074,0.890075,0.890089,0.890116,0.890148,0.890181,0.890205,0.890211,0.890187,0.890148,0.890099,0.890029,0.889943,0.889851,0.889746,0.889648,0.889572,0.88953,0.889519
TRUE,45,0.845417,0.845417,0.84417,0.847374,0.850112,0.854443,0.859998,0.851134,0.846061,0.843339,0.844448,0.846189,0.848454,0.850755,0.852356,0.853795,0.855363,0.857267,0.859601,0.86156,0.863446,0.865221,0.866898,0.868428,0.869819,0.871071,0.872139,0.873044,0.873824,0.874552,0.875225,0.875791,0.876253,0.876587,0.876812,0.876907,0.876867,0.876818,0.876791,0.876819,0.876871,0.876894,0.876869,0.87684,0.876815,0.876766,0.876733,0.876741,0.87678,0.876812,0.876804,0.876775,0.876741,0.876683,0.876619,0.876544,0.876471,0.876428,0.876407
TRUE,50,0.784917,0.784917,0.786806,0.795864,0.803329,0.809251,0.815715,0.811048,0.804558,0.802724,0.8061,0.809422,0.812953,0.815848,0.81766,0.819131,0.820646,0.822536,0.824938,0.826903,0.828652,0.830205,0.831608,0.832903,0.834161,0.835438,0.836698,0.83786,0.838855,0.839713,0.840434,0.840964,0.841312,0.841512,0.841622,0.841662,0.841648,0.841678,0.841751,0.84186,0.841953,0.841975,0.841922,0.841824,0.841762,0.841756,0.841757,0.841712,0.841638,0.841558,0.841465,0.841366,0.841294,0.841291,0.841319,0.84132,0.841304,0.841308,0.841329
TRUE,55,0.578672,0.578672,0.582294,0.590735,0.60369,0.620108,0.635853,0.643901,0.641195,0.640145,0.646966,0.652679,0.659157,0.666039,0.673456,0.680871,0.686676,0.691446,0.695252,0.697721,0.700686,0.703141,0.705096,0.707291,0.709286,0.710861,0.711936,0.712673,0.713352,0.714297,0.715582,0.716915,0.718063,0.718687,0.718886,0.718775,0.718335,0.717929,0.717677,0.717759,0.718031,0.718218,0.718291,0.718244,0.718233,0.718112,0.717681,0.717047,0.716499,0.716325,0.716456,0.716548,0.716417,0.716232,0.716063,0.715848,0.715657,0.715686,0.715998
TRUE,60,0.261574,0.261574,0.273075,0.280969,0.290186,0.294914,0.292393,0.303349,0.307581,0.31093,0.313781,0.31837,0.32204,0.325587,0.329951,0.335047,0.340397,0.346054,0.351723,0.356349,0.360375,0.36381,0.367178,0.369164,0.370129,0.3707,0.371224,0.372047,0.373439,0.374617,0.375243,0.375332,0.375171,0.375156,0.375754,0.376947,0.378213,0.37929,0.379719,0.379641,0.379239,0.378423,0.377693,0.377164,0.377122,0.377325,0.377346,0.377241,0.37696,0.3767,0.376187,0.375169,0.373911,0.372879,0.372448,0.372448,0.372351,0.371942,0.371516
